Java,CPP,DBMS,DWM,CBNST,OS
0.82,0.78,0.76,0.76,0.75,0.78
0.71,0.80,0.65,0.65,0.63,0.65
0.02,0.28,0.03,0.04,0.08,0.03
0.44,0.61,0.38,0.51,0.38,0.33
0.64,0.61,0.68,0.59,0.73,0.63
0.71,0.76,0.62,0.67,0.58,0.45
0.33,0.52,0.38,0.37,0.23,0.28
0.62,0.70,0.62,0.71,0.53,0.50
0.78,0.76,0.65,0.63,0.73,0.68
0.47,0.61,0.50,0.47,0.40,0.40
0.56,0.67,0.50,0.61,0.50,0.55
0.29,0.48,0.32,0.27,0.28,0.25
0.69,0.80,0.65,0.69,0.75,0.75
0.67,0.78,0.59,0.69,0.73,0.53
0.87,0.85,0.85,0.86,0.88,0.78
0.82,0.83,0.82,0.78,0.78,0.78
0.82,0.78,0.71,0.73,0.63,0.73
0.20,0.43,0.35,0.18,0.30,0.23
0.27,0.46,0.35,0.27,0.15,0.28
0.82,0.83,0.76,0.82,0.75,0.75
0.91,0.85,0.94,0.90,0.88,0.85
0.87,0.85,0.76,0.82,0.75,0.68
0.87,0.85,0.76,0.78,0.65,0.65
0.71,0.72,0.71,0.69,0.68,0.65
0.29,0.52,0.32,0.31,0.25,0.23
0.58,0.72,0.74,0.61,0.55,0.50
0.53,0.54,0.74,0.45,0.48,0.48
0.78,0.78,0.68,0.67,0.63,0.70
0.91,0.89,0.91,0.88,0.93,0.88
0.80,0.83,0.76,0.82,0.75,0.75
0.87,0.87,0.82,0.76,0.88,0.80
0.76,0.74,0.74,0.73,0.60,0.63
0.18,0.37,0.24,0.16,0.15,0.20
0.91,0.91,0.91,0.92,0.93,0.90
0.73,0.74,0.71,0.69,0.63,0.65
0.58,0.70,0.53,0.51,0.70,0.65
0.20,0.37,0.21,0.16,0.18,0.35
0.18,0.43,0.18,0.22,0.23,0.20
0.67,0.63,0.68,0.63,0.63,0.60
0.29,0.41,0.26,0.37,0.28,0.30
0.84,0.80,0.85,0.86,0.88,0.80
0.67,0.59,0.47,0.53,0.38,0.35
0.02,0.28,0.06,0.02,0.03,0.10
0.04,0.30,0.09,0.04,0.08,0.08
0.84,0.80,0.88,0.80,0.75,0.78
0.89,0.89,0.94,0.84,0.80,0.85
0.02,0.24,0.00,0.02,0.03,0.00
0.00,0.24,0.00,0.00,0.03,0.00
0.96,0.89,0.91,0.90,0.95,0.88
0.11,0.37,0.12,0.08,0.23,0.13